,Unnamed: 0,UNITID,INSTNM,CITY,STABBR,REGION,LATITUDE,LONGITUDE,PREDDEG,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,ADM_RATE,SAT_AVG,ACTCMMID,School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
158,3444,219602,AUSTINPEAYSTATEUNIVERSITY,Clarksville,TN,5,36.533319,-87.35408100000002,3,19720.0,,7501.0,22333.0,,0.3631,0.3776,0.2952,0.3919,0.3889,0.4286,0.25,0.3448,0.5,0.3143,0.8771,1011.0,22.0,Austin Peay State University,State,"$37,700.00","$59,200.00","$32,200.00","$40,500.00","$73,900.00","$96,200.00"
159,3493,220862,UNIVERSITYOFMEMPHIS,Memphis,TN,5,35.118874,-89.938062,3,22160.0,,8903.0,20615.0,,0.4505,0.508,0.3632,0.4615,0.5660000000000001,0.5556,,0.4688,0.4286,0.3949,0.3978,1029.0,22.0,University of Memphis (U of M),State,"$41,400.00","$69,700.00","$36,100.00","$49,100.00","$93,500.00","$127,000.00"
160,3530,221847,TENNESSEETECHNOLOGICALUNIVERSITY,Cookeville,TN,5,36.17465900000001,-85.503957,3,22514.0,,8011.0,23443.0,,0.5279,0.5352,0.4459,0.4255,0.5714,0.625,0.5,0.4138,0.5625,0.5,0.6832,1102.0,24.0,Tennessee Technological University,Engineering,"$46,200.00","$80,000.00","$42,100.00","$62,600.00","$99,500.00","$121,000.00"
161,3605,225511,UNIVERSITYOFHOUSTON,Houston,TX,6,29.719988,-95.344851,3,23267.0,,8759.0,20519.0,,0.5097,0.5248,0.378,0.458,0.6107,0.4,,,0.6961,0.4063,0.5972,1154.0,26.0,University of Houston (UH),State,"$46,000.00","$79,900.00","$42,000.00","$56,200.00","$106,000.00","$141,000.00"
162,3617,226091,LAMARUNIVERSITY,Beaumont,TX,6,30.044274,-94.073389,3,18852.0,,8002.0,17362.0,,0.321,0.3549,0.2487,0.368,0.5294,0.2,,,0.4375,0.5333,0.7911,974.0,21.0,Lamar University,State,"$46,500.00","$79,400.00","$38,700.00","$51,600.00","$114,000.00","$158,000.00"
163,3690,228529,TARLETONSTATEUNIVERSITY,Stephenville,TX,6,32.215665,-98.22008,3,17952.0,,6630.0,15990.0,,0.4399,0.4601,0.2344,0.3798,0.3,0.7778,,,0.3333,0.0,0.4967,959.0,21.0,Tarleton State University (TSU),State,"$40,800.00","$62,400.00","$32,100.00","$47,400.00","$80,400.00","$126,000.00"
164,3750,230603,SOUTHERNUTAHUNIVERSITY,Cedar City,UT,7,37.674617,-113.070146,3,18866.0,,6300.0,19132.0,,0.4685,0.5053,0.2353,0.3269,0.2222,0.1053,0.2222,0.0,0.1875,0.4667,0.7214,1078.0,24.0,Southern Utah University,State,"$41,900.00","$56,500.00","$30,700.00","$39,700.00","$78,400.00","$116,000.00"
165,3754,230728,UTAHSTATEUNIVERSITY,Logan,UT,7,41.740748,-111.81391,3,16702.0,,7260.0,19760.0,,0.4869,0.5106,0.48,0.33,0.3784,0.1842,,,0.5765,0.4488,0.9667,1084.0,24.0,Utah State University,State,"$43,800.00","$78,700.00","$41,600.00","$55,400.00","$101,000.00","$132,000.00"
166,3757,230764,UNIVERSITYOFUTAH,Salt Lake City,UT,7,40.762484,-111.846044,3,19447.0,,8197.0,26022.0,,0.6384,0.6443,0.3529,0.5369,0.6940000000000001,0.4375,0.6842,0.6667,0.6923,0.7111,0.8143,1130.0,25.0,University of Utah,State,"$45,400.00","$83,200.00","$43,000.00","$58,400.00","$116,000.00","$148,000.00"
167,3769,230959,MIDDLEBURYCOLLEGE,Middlebury,VT,1,44.009117,-73.176068,3,61160.0,,47828.0,47828.0,,0.9436,0.9571,1.0,0.9565,0.9211,0.5,,0.9583,0.8852,0.8846,0.1744,1383.0,31.0,Middlebury College,Liberal Arts,"$47,700.00","$94,200.00",,"$69,100.00","$129,000.00",
